exp,mean_last20_mean,mean_last20_std,mean_last20_min,mean_last20_max,mean_all_mean,max_max
1x256,98.08333333333333,26.229865293846498,72.15,124.6,40.364444444444445,274.0
2x128,88.18333333333334,29.733707023062784,53.85,105.45,38.157777777777774,266.0
2x64,99.31666666666666,35.19028038156748,58.8,122.25,50.66444444444445,298.0
3x128,128.15,13.976855869615303,113.7,141.6,61.51444444444445,328.0
